,Age,Job,Marital Status,Education,Default,Balance (euros),Housing Loan,Loan,Contact,Last Contact Day,Last Contact Month,Last Contact Duration,Campaign,Pdays,Previous,Poutcome,Subscription
67,34.0,self-employed,single,secondary,0,1261.0,1,0,cellular,9,apr,169,2,-1.0,0,unknown,0
68,36.0,technician,married,secondary,0,627.0,0,1,cellular,4,feb,146,3,244.0,1,other,0
69,54.0,management,single,tertiary,0,2081.0,0,0,cellular,1,oct,395,2,108.0,1,failure,0
71,28.0,services,single,secondary,0,198.0,0,0,cellular,7,jul,159,1,-1.0,0,unknown,0
72,46.0,blue-collar,married,primary,0,2023.0,1,0,cellular,21,nov,118,1,-1.0,0,unknown,0
73,30.0,self-employed,married,secondary,0,581.0,1,0,cellular,21,nov,197,3,-1.0,0,unknown,0
74,37.0,blue-collar,married,primary,0,2814.0,1,0,cellular,20,nov,619,3,-1.0,0,unknown,0
75,29.03269608218229,admin.,single,secondary,0,428.0,0,1,telephone,11,jul,321,2,-1.0,0,unknown,0
76,32.0,blue-collar,divorced,secondary,0,-289.0,1,0,unknown,12,jun,161,2,-1.0,0,unknown,0
77,36.0,services,divorced,secondary,0,127.0,0,0,cellular,18,aug,172,3,-1.0,0,unknown,0
78,34.0,technician,married,secondary,0,1246.0,0,0,unknown,28,may,88,3,-1.0,0,unknown,0
79,34.0,management,married,tertiary,0,3301.0,1,0,cellular,17,jun,485,2,227.0,4,failure,1
80,30.0,technician,single,tertiary,0,6683.0,0,0,cellular,30,jan,180,1,-1.0,0,unknown,0
81,53.0,management,divorced,tertiary,0,2152.0,0,0,cellular,4,may,520,2,80.0,3,success,0
82,25.0,student,single,unknown,0,3.0,0,0,cellular,26,may,170,1,-1.0,0,unknown,1
83,66.0,retired,married,secondary,0,2048.0,0,0,cellular,27,aug,212,1,-1.0,0,unknown,1
84,48.0,management,married,unknown,0,0.0,1,0,cellular,8,may,612,1,344.0,1,other,0
85,30.0,blue-collar,single,secondary,0,1224.0,1,0,cellular,17,apr,196,2,-1.0,0,unknown,0
86,44.0,services,divorced,secondary,0,2416.0,1,0,unknown,14,may,304,3,-1.0,0,unknown,0
87,50.0,technician,married,tertiary,0,5907.0,1,1,cellular,12,aug,338,2,-1.0,0,unknown,0
88,33.0,self-employed,single,tertiary,0,2155.0,0,0,cellular,17,nov,295,1,-1.0,0,unknown,0
89,36.0,management,single,unknown,0,601.0,0,0,cellular,2,feb,237,2,-1.0,0,unknown,0
90,26.0,blue-collar,single,primary,0,-295.0,1,0,cellular,6,may,138,1,-1.0,0,unknown,0
91,47.0,technician,married,tertiary,0,545.0,1,0,cellular,12,aug,588,3,-1.0,0,unknown,0
92,27.0,management,single,tertiary,0,2559.0,1,0,cellular,6,may,227,1,-1.0,0,unknown,0
93,48.0,entrepreneur,married,secondary,0,0.0,1,0,cellular,11,may,430,3,-1.0,0,unknown,0
94,51.0,blue-collar,married,primary,0,0.0,0,0,cellular,20,nov,85,1,-1.0,0,unknown,0
95,46.0,admin.,divorced,secondary,0,98.0,1,1,cellular,12,may,91,1,-1.0,0,unknown,0
96,33.0,management,single,tertiary,0,131.0,1,0,cellular,12,oct,209,3,427.0,2,failure,1
97,30.0,services,single,secondary,0,370.0,0,0,cellular,20,nov,142,1,-1.0,0,unknown,0
98,26.0,services,single,secondary,0,92.0,1,0,unknown,3,jun,50,4,-1.0,0,unknown,0
99,33.0,entrepreneur,married,tertiary,0,2179.0,1,1,cellular,7,may,217,1,167.0,2,other,0
100,44.0,admin.,married,secondary,0,1362.0,1,0,unknown,13,may,46,1,-1.0,0,unknown,0
101,44.0,admin.,single,secondary,0,89.0,1,1,cellular,8,may,164,1,-1.0,0,unknown,0
102,51.0,blue-collar,married,secondary,0,193.0,0,0,cellular,18,aug,146,5,-1.0,0,unknown,0
103,35.0,blue-collar,single,primary,0,293.0,1,0,unknown,30,may,521,2,-1.0,0,unknown,0
104,45.0,technician,married,tertiary,0,1780.0,0,0,unknown,9,jun,464,1,-1.0,0,unknown,0
105,32.0,management,single,tertiary,0,4582.0,1,0,cellular,20,nov,377,3,-1.0,0,unknown,0
106,54.0,blue-collar,married,secondary,0,0.0,0,0,telephone,16,apr,1366,1,150.0,1,failure,0
107,51.0,housemaid,married,secondary,0,1752.0,0,1,cellular,21,jul,335,8,-1.0,0,unknown,0
108,60.0,retired,married,secondary,0,18967.0,1,0,cellular,29,jan,177,2,-1.0,0,unknown,1
109,30.0,management,single,tertiary,0,985.0,1,0,cellular,25,oct,304,1,94.0,2,success,1
110,28.0,blue-collar,single,secondary,0,48.0,0,0,unknown,26,may,144,3,-1.0,0,unknown,0
111,42.0,self-employed,divorced,tertiary,0,5331.0,0,1,cellular,31,jul,135,3,-1.0,0,unknown,0
112,39.0,technician,married,secondary,0,375.0,1,1,telephone,17,apr,777,2,-1.0,0,unknown,0
113,59.0,retired,married,primary,0,0.0,0,0,unknown,18,jun,1009,1,-1.0,0,unknown,0
114,54.0,services,married,secondary,0,0.0,0,0,unknown,19,jun,220,1,-1.0,0,unknown,0
115,31.0,management,married,tertiary,0,859.0,1,1,cellular,4,aug,182,3,-1.0,0,unknown,0
116,21.20209796566652,student,single,secondary,0,1809.0,0,0,cellular,8,jul,414,2,-1.0,0,unknown,1
117,61.0,admin.,married,unknown,0,1088.0,1,0,cellular,20,may,254,1,359.0,1,failure,0
118,28.0,technician,single,tertiary,0,102.0,0,0,cellular,28,jan,321,2,-1.0,0,unknown,0
119,28.0,blue-collar,married,secondary,0,2322.0,0,0,cellular,8,jul,82,4,-1.0,0,unknown,0
120,24.0,technician,single,tertiary,0,1954.0,1,1,unknown,27,may,78,1,-1.0,0,unknown,0
121,52.0,blue-collar,married,primary,0,2439.0,1,0,unknown,30,may,212,3,-1.0,0,unknown,0
122,42.0,technician,married,secondary,0,-356.0,1,1,cellular,5,aug,97,1,-1.0,0,unknown,0
123,61.0,retired,married,tertiary,0,2557.0,1,0,cellular,10,feb,158,2,92.0,5,success,1
124,27.0,services,single,secondary,0,3791.0,1,0,unknown,28,may,231,1,-1.0,0,unknown,0
125,29.0,management,single,tertiary,0,502.0,0,0,cellular,8,jul,968,1,87.0,5,failure,1
126,34.0,blue-collar,married,secondary,0,-257.0,1,0,cellular,15,may,160,1,368.0,4,failure,0
127,37.0,management,married,tertiary,0,3794.0,0,0,cellular,18,aug,147,1,379.0,1,failure,0
128,32.0,management,married,tertiary,0,644.0,1,1,unknown,8,may,477,2,-1.0,0,unknown,0
129,52.0,blue-collar,married,secondary,0,-98.0,1,0,unknown,7,may,423,1,-1.0,0,unknown,0
130,27.0,blue-collar,single,secondary,1,-2.0,1,1,unknown,14,may,123,5,-1.0,0,unknown,0
131,27.0,services,single,secondary,0,0.0,0,0,cellular,1,jun,181,1,-1.0,0,unknown,0
132,40.0,technician,single,secondary,0,1411.0,1,1,cellular,18,nov,93,3,-1.0,0,unknown,0
133,29.0,student,single,secondary,0,1377.0,1,0,cellular,3,aug,248,1,446.0,2,success,1
134,28.0,blue-collar,single,primary,0,1518.0,1,0,cellular,15,may,204,3,359.0,3,failure,0
135,27.0,services,divorced,secondary,0,96.0,1,0,unknown,8,may,31,1,-1.0,0,unknown,0
136,40.0,blue-collar,single,secondary,0,5483.0,0,0,cellular,29,jul,76,2,-1.0,0,unknown,0
137,41.0,blue-collar,married,primary,0,164.0,1,0,cellular,12,may,150,4,330.0,11,other,0
138,56.0,housemaid,married,primary,0,871.0,0,0,telephone,25,jul,149,1,-1.0,0,unknown,0
139,37.0,blue-collar,married,secondary,0,2848.0,1,0,cellular,16,apr,280,2,147.0,3,failure,0
140,78.0,housemaid,married,secondary,0,499.0,0,0,telephone,16,mar,80,4,-1.0,0,unknown,0
141,32.0,admin.,single,secondary,0,-227.0,1,1,unknown,9,may,646,1,-1.0,0,unknown,0
142,59.0,technician,married,secondary,0,1139.0,0,0,cellular,14,jul,607,2,-1.0,0,unknown,0
143,32.0,management,single,tertiary,0,334.0,0,0,cellular,22,aug,944,14,-1.0,0,unknown,0
144,32.0,services,married,primary,0,228.0,1,0,cellular,21,jul,1017,6,-1.0,0,unknown,1
145,37.0,management,married,tertiary,0,0.0,1,0,unknown,9,may,59,1,-1.0,0,unknown,0
146,45.0,admin.,married,secondary,1,1.0,0,0,telephone,2,feb,1028,2,207.0,1,other,0
147,39.0,blue-collar,married,secondary,0,23.0,1,0,unknown,12,may,22,5,-1.0,0,unknown,0
148,48.0,technician,married,secondary,0,1000.0,0,0,cellular,21,nov,104,2,-1.0,0,unknown,0
149,35.0,management,single,tertiary,0,12.0,0,0,cellular,7,jul,289,1,-1.0,0,unknown,0
151,27.0,services,single,secondary,0,302.0,0,0,cellular,8,jan,151,1,189.0,1,success,0
152,24.0,student,single,unknown,0,0.0,0,0,cellular,4,may,90,2,-1.0,0,unknown,0
153,54.0,retired,married,secondary,0,2626.0,0,0,unknown,13,may,151,2,-1.0,0,unknown,0
154,48.0,services,married,secondary,0,1291.0,1,0,cellular,8,may,255,2,-1.0,0,unknown,0
155,34.0,admin.,single,tertiary,0,458.0,1,0,unknown,20,may,211,1,-1.0,0,unknown,0
156,31.0,services,married,secondary,0,2083.0,1,0,cellular,4,may,190,3,355.0,2,other,0
158,48.0,admin.,married,secondary,0,749.0,1,0,unknown,2,jun,56,3,-1.0,0,unknown,0
159,46.0,blue-collar,married,unknown,0,55.0,0,0,cellular,23,jul,55,1,-1.0,0,unknown,0
160,35.0,blue-collar,married,secondary,0,3015.0,1,0,unknown,9,jun,753,2,-1.0,0,unknown,0
161,44.0,blue-collar,married,primary,0,143.0,1,0,unknown,7,may,153,1,-1.0,0,unknown,0
162,32.0,management,married,tertiary,0,4733.0,0,0,cellular,30,apr,532,1,-1.0,0,unknown,1
163,56.0,management,divorced,tertiary,0,1016.0,1,0,unknown,9,jun,184,5,-1.0,0,unknown,0
164,36.876354977551486,blue-collar,married,secondary,0,393.0,1,0,cellular,5,may,11,9,-1.0,0,unknown,0
165,52.0,blue-collar,married,unknown,0,0.0,1,0,cellular,9,jul,1486,1,-1.0,0,unknown,1
166,48.0,services,married,secondary,0,1573.0,0,0,cellular,5,aug,165,1,-1.0,0,unknown,0
167,34.0,technician,single,secondary,0,2085.0,0,0,cellular,10,aug,356,3,182.0,2,success,1
168,60.0,retired,married,primary,0,957.0,0,0,cellular,6,aug,224,2,-1.0,0,unknown,0
169,28.0,technician,single,tertiary,0,4513.0,1,0,unknown,27,may,167,3,-1.0,0,unknown,0
170,37.0,admin.,single,secondary,0,796.0,1,0,telephone,29,jan,143,3,-1.0,0,unknown,0
171,26.0,admin.,married,tertiary,0,2855.0,0,0,cellular,30,mar,52,3,-1.0,0,unknown,0
172,63.0,retired,divorced,primary,0,109.0,0,0,cellular,10,nov,406,2,-1.0,0,unknown,1
173,33.0,admin.,divorced,secondary,0,961.0,0,0,cellular,30,jan,308,2,-1.0,0,unknown,0
174,48.0,services,single,primary,0,1499.0,1,0,cellular,12,may,17,7,-1.0,0,unknown,0
175,57.0,retired,married,secondary,0,789.0,0,0,unknown,19,jun,2635,3,-1.0,0,unknown,0
176,50.0,admin.,divorced,tertiary,0,66.0,1,0,cellular,17,nov,77,2,-1.0,0,unknown,0
177,35.0,management,married,tertiary,0,-718.0,1,1,unknown,27,may,318,3,-1.0,0,unknown,0
178,58.0,self-employed,married,tertiary,0,5810.0,0,0,cellular,12,mar,139,1,-1.0,0,unknown,1
179,37.0,management,single,tertiary,0,1730.0,0,0,cellular,19,mar,167,1,-1.0,0,unknown,1
180,25.0,technician,single,secondary,0,1105.0,1,0,cellular,17,apr,608,1,-1.0,0,unknown,0
181,30.0,management,single,tertiary,0,5359.0,0,0,cellular,27,may,119,1,98.0,1,success,1
182,48.0,technician,divorced,secondary,0,168.0,1,1,cellular,15,may,100,2,361.0,1,other,0
183,28.0,blue-collar,married,secondary,0,1687.0,1,0,cellular,20,apr,121,2,-1.0,0,unknown,0
184,49.0,management,married,tertiary,0,436.0,0,0,cellular,21,nov,215,1,-1.0,0,unknown,0
185,45.0,blue-collar,married,primary,0,271.0,1,1,cellular,17,apr,245,1,343.0,1,failure,0
186,42.0,unemployed,single,primary,0,8037.0,0,0,cellular,5,jun,92,2,-1.0,0,unknown,0
187,29.0,blue-collar,married,secondary,0,214.0,1,1,unknown,25,jun,372,5,-1.0,0,unknown,0
188,26.0,management,single,tertiary,0,3178.0,0,0,cellular,2,jun,64,1,-1.0,0,unknown,0
189,57.0,retired,single,secondary,0,976.0,1,0,cellular,9,jul,98,1,-1.0,0,unknown,0
190,57.0,blue-collar,married,primary,0,12048.0,1,0,cellular,15,apr,103,2,-1.0,0,unknown,0
191,46.0,technician,married,secondary,0,399.0,0,0,cellular,21,jul,156,1,-1.0,0,unknown,0
192,44.0,management,married,tertiary,0,6203.0,1,1,cellular,17,nov,58,1,188.0,1,failure,0
193,31.0,management,single,tertiary,0,319.0,1,0,cellular,16,apr,302,2,248.0,2,failure,0
194,40.0,technician,married,secondary,0,8379.0,0,0,unknown,12,jun,52,6,-1.0,0,unknown,0
195,58.0,housemaid,married,primary,0,237.0,0,0,telephone,18,jul,200,3,-1.0,0,unknown,0
196,39.0,blue-collar,married,secondary,0,0.0,1,0,unknown,20,may,165,2,-1.0,0,unknown,0
197,58.0,retired,married,secondary,0,0.0,1,0,unknown,26,may,77,1,-1.0,0,unknown,0
198,37.0,technician,single,secondary,0,29.0,0,0,unknown,3,jul,269,2,-1.0,0,unknown,0
199,33.0,management,married,secondary,0,350.0,1,0,cellular,13,may,205,1,350.0,2,failure,0
200,42.0,management,married,tertiary,0,1323.0,1,1,unknown,15,may,193,5,-1.0,0,unknown,0
201,36.0,management,divorced,tertiary,0,2397.0,0,0,cellular,25,aug,93,9,-1.0,0,unknown,0
202,53.30810603313771,blue-collar,married,primary,0,-418.0,1,1,cellular,14,may,106,2,-1.0,0,unknown,0
203,48.0,technician,married,secondary,0,4265.0,1,0,cellular,21,nov,327,1,192.0,2,failure,0
204,45.0,blue-collar,married,secondary,0,115.0,0,0,cellular,11,aug,209,4,-1.0,0,unknown,0
205,46.0,blue-collar,married,tertiary,0,993.0,1,0,unknown,16,jun,78,1,-1.0,0,unknown,0
206,39.0,blue-collar,married,primary,0,317.0,1,0,unknown,13,may,326,3,-1.0,0,unknown,0
207,41.0,management,married,secondary,0,0.0,0,0,cellular,31,jul,83,2,-1.0,0,unknown,0
208,60.0,management,married,tertiary,0,759.0,0,0,cellular,14,aug,136,2,-1.0,0,unknown,0
209,41.0,management,divorced,tertiary,0,902.0,1,0,cellular,3,apr,134,1,-1.0,0,unknown,0
210,52.0,admin.,divorced,secondary,0,944.0,1,0,unknown,12,may,198,3,-1.0,0,unknown,0
211,52.0,blue-collar,married,primary,0,1079.0,1,0,unknown,15,may,257,7,-1.0,0,unknown,0
212,38.0,blue-collar,single,secondary,0,0.0,0,0,cellular,27,oct,297,1,75.0,3,failure,1
213,39.0,blue-collar,married,primary,0,50.0,0,0,cellular,16,jul,147,2,-1.0,0,unknown,0
214,36.0,technician,married,unknown,0,88.0,1,1,unknown,4,jul,124,2,-1.0,0,unknown,0
215,35.0,admin.,married,secondary,0,3863.0,1,0,cellular,20,nov,239,1,-1.0,0,unknown,0
216,23.0,student,single,secondary,0,834.0,1,0,cellular,6,may,283,3,-1.0,0,unknown,0
217,32.0,management,married,tertiary,0,794.0,1,1,cellular,9,jul,1014,1,-1.0,0,unknown,1
218,58.0,technician,married,unknown,0,71.0,1,0,unknown,5,may,71,1,-1.0,0,unknown,0
219,56.0,retired,married,secondary,0,1044.0,0,0,telephone,3,jul,353,2,-1.0,0,unknown,1
220,48.0,technician,divorced,secondary,0,1290.0,0,0,unknown,16,jun,58,1,-1.0,0,unknown,0
221,37.0,management,single,tertiary,0,1572.0,0,0,cellular,20,aug,90,6,-1.0,0,unknown,0
222,37.0,management,married,tertiary,0,0.0,1,0,cellular,6,may,84,2,169.0,3,failure,0
223,39.0,blue-collar,single,primary,0,1220.0,0,0,telephone,10,jul,148,20,-1.0,0,unknown,0
224,26.0,services,married,secondary,0,44.0,1,1,cellular,4,feb,193,2,237.0,20,other,0
225,54.0,technician,divorced,secondary,0,765.0,1,1,cellular,15,jul,812,3,-1.0,0,unknown,0
226,38.0,services,married,secondary,0,2600.0,0,0,unknown,5,jun,27,2,-1.0,0,unknown,0
227,43.0,management,married,secondary,0,17555.0,0,0,cellular,26,aug,14,14,-1.0,0,unknown,0
228,46.0,blue-collar,married,secondary,0,689.0,0,0,cellular,18,aug,121,7,-1.0,0,unknown,0
229,48.0,services,divorced,secondary,0,4408.0,1,0,unknown,3,jun,106,6,-1.0,0,unknown,0
230,32.0,services,single,secondary,0,284.0,1,0,unknown,28,may,63,2,-1.0,0,unknown,0
231,52.0,technician,married,secondary,0,5303.0,1,0,unknown,19,oct,133,1,-1.0,0,unknown,1
232,29.0,services,single,secondary,0,536.0,1,0,telephone,2,feb,30,5,-1.0,0,unknown,0
233,58.0,unemployed,married,primary,0,446.0,0,0,cellular,28,jan,402,2,-1.0,0,unknown,0
234,38.0,admin.,married,tertiary,0,4399.0,1,0,unknown,20,may,638,2,-1.0,0,unknown,0
235,31.0,technician,single,secondary,0,200.0,0,0,cellular,6,aug,315,2,-1.0,0,unknown,0
236,41.0,blue-collar,married,primary,0,241.0,1,0,cellular,20,apr,170,1,150.0,1,failure,0
237,38.0,technician,married,secondary,0,625.0,1,0,unknown,4,jun,140,2,-1.0,0,unknown,0
238,35.0,services,married,secondary,0,195.0,1,0,cellular,17,apr,203,1,-1.0,0,unknown,0
239,49.0,technician,divorced,secondary,0,-403.0,0,1,cellular,21,jul,482,2,-1.0,0,unknown,0
240,49.0,blue-collar,married,secondary,0,171.0,0,0,telephone,5,feb,260,6,-1.0,0,unknown,0
241,42.0,unemployed,divorced,primary,0,1699.0,0,1,cellular,17,jul,207,2,-1.0,0,unknown,0
242,17.336232250756627,admin.,married,primary,0,1994.0,0,0,cellular,9,jul,64,1,-1.0,0,unknown,0
243,26.0,technician,single,secondary,0,668.0,1,0,unknown,28,may,576,3,-1.0,0,unknown,1
244,41.0,technician,married,secondary,0,3029.0,1,0,cellular,17,nov,251,2,-1.0,0,unknown,0
245,36.0,admin.,married,secondary,0,953.0,1,0,cellular,17,feb,38,1,-1.0,0,unknown,0
246,38.0,technician,married,secondary,0,1696.0,0,0,cellular,20,nov,267,2,-1.0,0,unknown,0
247,44.0,admin.,married,tertiary,0,688.0,0,0,telephone,19,nov,274,1,-1.0,0,unknown,0
248,30.0,management,single,tertiary,0,464.0,0,0,cellular,28,jan,80,1,-1.0,0,unknown,0
249,38.0,services,divorced,primary,0,0.0,1,0,cellular,20,nov,250,1,155.0,2,failure,0
250,36.0,technician,married,secondary,0,522.0,1,0,cellular,17,jul,185,1,-1.0,0,unknown,0
251,35.0,services,married,secondary,0,211.0,1,0,cellular,12,may,187,1,-1.0,0,unknown,0
252,28.0,admin.,married,secondary,0,1582.0,1,0,unknown,3,jun,816,2,-1.0,0,unknown,0
253,50.0,technician,divorced,tertiary,0,1679.0,1,0,cellular,24,jul,604,2,-1.0,0,unknown,0
254,55.0,management,married,tertiary,0,149.0,0,1,telephone,25,jul,41,6,-1.0,0,unknown,0
255,33.0,services,married,secondary,0,2368.0,0,0,unknown,13,sep,5,1,-1.0,0,unknown,0
256,33.0,blue-collar,married,primary,0,2720.0,1,0,unknown,26,may,147,3,-1.0,0,unknown,0
257,32.0,technician,single,secondary,0,6402.0,1,0,cellular,6,may,158,1,167.0,1,success,0
258,54.0,retired,married,secondary,0,1004.0,1,0,cellular,1,apr,479,1,307.0,1,failure,0
259,33.0,blue-collar,married,primary,0,1138.0,1,1,cellular,15,may,122,2,343.0,4,failure,0
260,64.0,retired,married,primary,0,493.0,0,0,cellular,17,apr,108,1,-1.0,0,unknown,0
261,46.0,blue-collar,single,tertiary,0,283.0,0,0,cellular,7,apr,299,1,-1.0,0,unknown,1
262,31.0,management,single,tertiary,0,7444.0,1,1,unknown,8,may,20,1,-1.0,0,unknown,0
263,33.0,blue-collar,single,secondary,0,372.0,1,0,unknown,23,may,92,1,-1.0,0,unknown,0
264,50.01052905604027,admin.,married,secondary,0,587.0,0,0,cellular,3,feb,248,2,-1.0,0,unknown,0
265,40.86959411675042,management,married,tertiary,0,0.0,0,0,cellular,6,aug,341,2,-1.0,0,unknown,0
266,38.0,technician,divorced,secondary,0,-453.0,0,1,cellular,27,aug,15,9,-1.0,0,unknown,0
267,45.0,blue-collar,divorced,primary,0,594.0,1,0,unknown,29,may,833,2,-1.0,0,unknown,1
268,42.0,management,single,tertiary,1,0.0,1,0,cellular,21,nov,824,1,-1.0,0,unknown,1
269,31.0,technician,single,secondary,0,19.0,0,0,telephone,4,jul,65,2,-1.0,0,unknown,0
270,47.0,technician,married,tertiary,0,0.0,0,0,cellular,17,nov,120,1,-1.0,0,unknown,0
